,Address,total_cost
147,20002386323,454055000.0
148,20002386326,35128000.0
149,20002386329,173685000.0
150,20002386414,78145552.0
151,20002386416,110823000.0
152,20002386421,16416000.0
153,20002386422,81070552.0
154,20002386426,214088000.0
155,20002386429,54512552.0
156,20003386513,266228776.0
157,20003386514,29804000.0
158,20003386520,209013164.0
159,20003386521,15040000.0
160,20003386526,71825000.0
161,20003386529,181595000.0
162,20003386617,82266000.0
163,20003386618,61384000.0
164,20003386621,49547000.0
165,20003386626,733441000.0
166,20003386629,15504000.0
167,20003386715,176350000.0
168,20003386716,137341000.0
169,20003386719,21807552.0
170,20003386720,71610000.0
171,20003386726,117815552.0
172,20003386729,45372500.0
173,20003386814,40730776.0
174,20003386816,93970000.0
175,20003386820,70506328.0
176,20003386822,8005940.0
177,20003386826,18050000.0
178,20003386829,90980000.0
179,20003386913,10635000.0
180,20003386917,40685000.0
181,20003386920,15260000.0
182,20003386921,32740000.0
183,20003386926,220821000.0
184,20003386929,28775000.0
185,20003387014,17008776.0
186,20003387016,28135000.0
187,20003387019,68258776.0
188,20003387022,140560000.0
189,20003387026,135683164.0
190,20003387029,61575000.0
191,20003387115,99740776.0
192,20003387118,12313000.0
193,20003387120,18342388.0
194,20003387123,60986940.0
195,20003387126,155286000.0
196,20003387129,21202164.0
197,20004387214,313623164.0
198,20004387215,223475000.0
199,20004387223,103793164.0
200,20004387224,55512000.0
201,20004387226,27103164.0
202,20004387229,33845000.0
203,20004387314,43096776.0
204,20004387317,186525164.0
205,20004387319,53923164.0
206,20004387323,105080000.0
207,20004387326,18559000.0
208,20004387329,196823776.0
209,20004387414,17102552.0
210,20004387417,6480000.0
211,20004387419,35832552.0
212,20004387420,116328776.0
213,20004387426,88153164.0
214,20004387429,11900776.0
215,20004387514,128690000.0
216,20004387516,26505000.0
217,20004387519,16778776.0
218,20004387524,202330000.0
219,20004387526,332445000.0
220,20004387529,75771000.0
221,20004387617,104255164.0
222,20004387618,120776164.0
223,20004387622,28333776.0
224,20004387623,222136000.0
225,20004387626,21714388.0
226,20004387629,104725000.0
227,20004387714,100180000.0
228,20004387718,108436000.0
229,20004387722,45805000.0
230,20004387724,166498000.0
231,20004387726,52321000.0
232,20004387729,71792000.0
233,20004387813,5898776.0
234,20004387817,232811000.0
235,20004387820,339107776.0
236,20004387823,27289776.0
237,20004387826,29953164.0
238,20004387829,99357388.0
239,20004387914,116858164.0
240,20004387915,89327552.0
241,20004387923,102044388.0
242,20004387924,9265000.0
243,20004387926,108215000.0
244,20004387929,36620000.0
245,20004388014,168359000.0
246,20004388018,180684552.0
247,20004388021,240829388.0
248,20004388023,43898776.0
249,20004388026,124657552.0
250,20004388029,46414388.0
251,20004388114,103120000.0
252,20004388116,42403164.0
253,20004388120,302232000.0
