Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,perk_w_y,netincome_w_m,netincome_w_y,Fasl,year
10224035032,2,2320.0,85210,6,5,60000000,735000000,15000000.0,53600000,658200000,1,1401
10224035035,4,5224.0,47212,8,6,35000000,450000000,30000000.0,35000000,450000000,1,1401
10224035038,1,9314.0,41000,8,5,70000000,840000000,0.0,70000000,840000000,1,1401
10224035041,1,9314.0,41000,8,5,70000000,800000000,0.0,70000000,800000000,1,1401
10227035426,3,2421.0,10800,9,6,38000000,506000000,50000000.0,36226500,484718000,1,1401
10227035426,4,2421.0,10800,9,6,38000000,506000000,50000000.0,36226500,484718000,1,1401
10227035438,1,5411.0,84230,18,3,60000000,770000000,50000000.0,57200000,736400000,1,1401
10227035438,2,2421.0,84120,8,6,55000000,710000000,50000000.0,52430000,679160000,1,1401
10303036532,2,5120.0,56100,10,7,80000000,400000000,0.0,80000000,400000000,1,1401
10303036532,3,8142.0,22200,8,6,50000000,680000000,80000000.0,47666667,652000004,1,1401
10303036541,1,7213.0,28210,10,7,70000000,920000000,80000000.0,66373334,880800008,1,1401
10303036936,2,2342.0,85101,5,5,12000000,144000000,0.0,12000000,144000000,1,1401
10303037530,1,2221.0,86100,12,7,125000000,1530000000,30000000.0,119166667,1460000004,1,1401
10303037531,1,2221.0,86100,12,7,75000000,920000000,20000000.0,68250000,839000000,1,1401
10303037531,2,2221.0,86100,12,7,75000000,920000000,20000000.0,68250000,839000000,1,1401
10303037538,1,1115.0,84300,8,6,150000000,1950000000,150000000.0,143000000,1866000000,1,1401
10303037541,1,2411.0,84130,8,6,60000000,740000000,20000000.0,57200000,706400000,1,1401
10303037929,1,4312.0,42100,8,6,75000000,960000000,60000000.0,71500000,918000000,1,1401
10303037929,2,2330.0,85210,4,5,40000000,500000000,20000000.0,36400000,456800000,1,1401
10303037930,1,7213.0,29300,8,6,77000000,1069000000,145000000.0,73406667,1025880004,1,1401
10303037935,1,9321.0,28190,6,7,75000000,850000000,100000000.0,71500000,815000000,1,1401
10303038436,1,5224.0,47212,10,6,30000000,360000000,0.0,30000000,360000000,1,1401
10303038436,2,1345.0,85102,8,6,15000000,180000000,0.0,15000000,180000000,1,1401
10303038438,5,8322.0,46300,9,6,35000000,420000000,0.0,35000000,420000000,1,1401
10303039426,2,7225.0,25920,9,6,65000000,780000000,0.0,65000000,780000000,1,1401
10303039429,2,2341.0,85102,5,5,50000000,612000000,12000000.0,47666667,584000004,1,1401
10303039432,1,9333.0,96092,10,7,60000000,720000000,0.0,60000000,720000000,1,1401
10303039432,3,9314.0,41000,9,4,50000000,600000000,0.0,50000000,600000000,1,1401
10303039435,1,7318.0,13931,8,6,54000000,648000000,0.0,54000000,648000000,1,1401
10303039435,3,7231.0,45200,10,6,81000000,972000000,0.0,81000000,972000000,1,1401
10303039441,4,7211.0,24320,10,6,47000000,564000000,-18000000.0,47000000,546000000,1,1401
10303039441,5,7211.0,24320,10,6,47000000,546000000,0.0,47000000,546000000,1,1401
10303039930,1,7522.0,31000,8,6,65000000,830000000,50000000.0,65000000,830000000,1,1401
10303039938,1,9314.0,41000,8,2,20000000,120000000,0.0,20000000,120000000,1,1401
10303039938,5,9314.0,41000,8,5,0,70000000,0.0,0,70000000,1,1401
10303039938,6,9314.0,41000,8,5,0,80000000,0.0,0,80000000,1,1401
10303040341,3,4120.0,85490,4,6,3000000,36000000,0.0,3000000,36000000,1,1401
10303040929,1,7123.0,43300,8,5,40000000,480000000,0.0,40000000,480000000,1,1401
10303040930,1,7212.0,45200,12,6,50000000,635000000,35000000.0,47666667,607000004,1,1401
10303040931,1,8142.0,27500,8,6,40000000,580000000,100000000.0,38133334,557600008,1,1401
10303040931,2,2341.0,85102,6,5,10000000,90000000,0.0,9792592,88133334,1,1401
10303040934,3,7221.0,29300,8,6,35000000,455000000,35000000.0,33366667,435400004,1,1401
10303040938,1,9333.0,28130,8,6,50000000,640000000,40000000.0,47666667,612000004,1,1401
10303040938,3,5224.0,47212,8,7,20000000,241500000,1500000.0,20000000,241500000,1,1401
10303040941,1,7214.0,25110,8,6,40000000,540000000,60000000.0,38133334,517600008,1,1401
10303041330,3,5132.0,84110,8,6,38000000,250000000,0.0,38000000,250000000,1,1401
10303041330,5,5132.0,56300,8,7,25000000,200000000,0.0,25000000,200000000,1,1401
10303041332,1,3323.0,49210,8,6,140000000,1780000000,100000000.0,133466667,1701600004,1,1401
10303041332,2,2341.0,85102,5,5,66000000,817000000,25000000.0,60060000,745720000,1,1401
10303041336,3,9333.0,47190,8,6,55000000,730000000,70000000.0,52433334,699200008,1,1401
10303041338,1,2523.0,22200,8,6,65000000,880000000,100000000.0,61966667,843600004,1,1401
10303041829,1,9314.0,41000,8,6,55000000,385000000,0.0,55000000,385000000,1,1401
10305042427,3,510.0,84220,8,6,8000000,96000000,0.0,7280000,87360000,1,1401
10305042432,1,7511.0,10101,10,6,80000000,320000000,0.0,80000000,320000000,1,1401
10305042432,1,9314.0,41000,8,5,0,400000000,0.0,0,400000000,1,1401
10305042438,1,8332.0,84110,10,6,55000000,730000000,70000000.0,52433334,699200008,1,1401
10306043027,1,5414.0,24100,8,6,115000000,1460000000,80000000.0,109633334,1395600008,1,1401
10306043032,1,410.0,84230,8,6,88000000,1116000000,60000000.0,80080000,1020960000,1,1401
10307043426,1,8341.0,1610,10,7,50000000,250000000,0.0,50000000,250000000,1,1401
10307043426,1,8332.0,49230,10,6,0,400000000,0.0,0,400000000,1,1401
10307043431,1,8183.0,10712,10,7,50000000,650000000,50000000.0,47666667,622000004,1,1401
10307043438,1,5224.0,47190,12,7,65000000,780000000,0.0,61966667,743600004,1,1401
