Address,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities
10001001527,4,4,90.0,3.0,4,0,0,3,2,2,8
10001001528,0,4,90.0,3.0,4,1,0,3,2,2,9
10001001532,0,4,100.0,3.0,4,0,0,3,2,2,6
10001001535,4,4,80.0,3.0,4,1,0,3,2,2,7
10001001620,4,3,120.0,3.0,4,0,0,3,2,2,7
10001001621,4,3,90.0,3.0,4,1,1,3,2,2,9
10001001625,4,3,68.0,3.0,4,0,0,3,2,2,7
10001001629,4,3,68.0,3.0,4,1,0,3,2,2,7
10001001632,4,3,68.0,3.0,4,0,0,3,2,2,7
10001001635,4,3,68.0,3.0,4,1,0,3,2,2,8
10001001721,4,3,80.0,3.0,4,1,0,3,2,2,8
10001001723,4,4,100.0,3.0,4,0,0,3,2,2,8
10001001726,4,4,100.0,3.0,4,1,0,3,2,2,9
10001001727,0,4,70.0,3.0,4,1,0,3,2,2,8
10001001732,4,3,60.0,3.0,4,0,0,3,2,2,6
10001001735,4,3,50.0,3.0,4,1,0,3,2,2,7
10001001821,1,3,60.0,3.0,4,0,0,3,2,2,6
10001001822,1,3,70.0,3.0,4,0,0,3,2,2,6
10001001826,4,3,90.0,3.0,4,0,0,3,2,2,6
10001001829,4,3,97.0,3.0,4,0,0,3,2,2,6
10001001832,0,3,80.0,3.0,4,1,1,3,2,2,10
10001001835,4,4,100.0,3.0,4,1,0,3,2,2,8
10001001920,0,3,90.0,3.0,4,0,0,3,2,2,9
10001001924,4,3,60.0,3.0,4,1,0,3,2,2,8
10001001925,5,4,100.0,3.0,4,1,0,3,2,2,9
10001001927,5,4,80.0,3.0,4,0,0,3,2,2,10
10001001932,4,4,75.0,3.0,4,1,0,3,2,2,9
10001001935,5,4,80.0,3.0,4,0,0,3,2,2,8
10001002020,0,4,75.0,3.0,4,1,0,3,2,2,7
10001002024,5,4,75.0,3.0,4,0,0,3,2,2,8
10001002025,0,4,70.0,3.0,4,0,0,3,2,2,7
10001002029,5,3,65.0,3.0,4,0,0,3,2,2,7
10001002032,4,4,70.0,3.0,4,0,0,3,2,2,7
10001002035,5,4,70.0,3.0,4,0,0,3,2,2,8
10001002220,5,4,80.0,3.0,4,1,0,3,2,2,8
10001002221,4,4,90.0,3.0,4,0,0,3,2,2,8
10001002226,4,4,90.0,3.0,4,1,0,3,2,2,8
10001002229,4,4,90.0,3.0,4,1,0,3,2,2,8
10001002232,5,4,70.0,3.0,4,1,0,3,2,2,9
10001002235,4,4,80.0,3.0,4,1,0,3,2,2,8
10001002320,4,2,100.0,3.0,4,0,0,3,2,2,9
10001002323,4,3,70.0,3.0,4,1,0,3,2,2,9
10001002326,4,4,80.0,3.0,4,1,1,3,2,2,9
10001002329,0,2,40.0,3.0,1,0,0,3,2,2,9
10001002332,0,3,80.0,3.0,4,1,0,3,2,2,9
10001002335,4,4,90.0,3.0,4,0,0,3,2,2,7
10001002419,4,4,90.0,3.0,4,1,0,3,2,2,9
10001002423,5,4,80.0,3.0,4,1,0,3,2,2,8
10001002425,0,4,100.0,3.0,4,1,0,3,2,2,8
10001002430,4,4,90.0,3.0,4,1,0,3,2,2,7
10001002432,4,4,75.0,3.0,4,0,0,3,2,2,9
10001002435,4,4,90.0,3.0,4,1,0,3,2,2,8
10001002520,4,4,100.0,3.0,4,0,0,3,2,2,8
10001002521,4,4,150.0,3.0,4,1,0,3,2,2,7
10001002526,5,4,110.0,3.0,4,0,0,3,2,2,8
10001002529,4,4,100.0,3.0,4,1,0,3,2,2,8
10001002532,4,3,60.0,3.0,4,1,0,3,2,2,7
10001002535,5,3,50.0,3.0,4,0,0,3,2,2,8
10001002620,4,3,100.0,3.0,4,0,0,3,2,2,3
10001002621,1,3,80.0,3.0,4,0,0,3,2,2,7
10001002626,4,3,100.0,3.0,4,0,0,3,2,2,5
10001002630,4,3,80.0,3.0,4,0,0,3,2,2,7
10001002632,4,3,70.0,3.0,4,1,0,3,2,2,9
10001002635,4,3,70.0,3.0,4,1,0,3,2,2,10
10001002719,5,4,85.0,3.0,4,1,0,3,2,2,8
10001002723,1,4,75.0,3.0,4,1,0,3,2,2,8
10001002725,1,3,63.0,3.0,4,1,0,3,2,2,7
10001002726,4,3,52.0,3.0,4,1,0,3,2,2,10
10001002732,4,4,80.0,3.0,4,1,0,3,2,2,8
10001002735,4,4,85.0,3.0,4,1,0,3,2,2,9
10002002820,4,3,70.0,3.0,4,0,0,3,2,2,8
10002002824,4,3,150.0,3.0,4,0,1,3,2,2,9
10002002829,4,4,150.0,3.0,4,1,0,3,2,2,8
10002002830,4,4,155.0,3.0,4,1,0,3,2,2,7
10002002832,4,3,120.0,3.0,4,1,1,3,2,2,7
10002002835,5,4,100.0,3.0,4,1,1,3,2,2,9
10002002922,4,4,100.0,3.0,4,1,0,3,2,2,8
10002002925,4,4,120.0,1.0,4,1,1,3,2,2,8
10002002926,4,3,90.0,3.0,4,0,1,3,2,2,5
10002002932,4,4,120.0,3.0,4,1,0,3,2,2,8
10002002935,1,3,80.0,3.0,4,0,1,3,2,2,7
10002003019,4,3,60.0,3.0,4,0,0,3,2,2,6
10002003021,4,3,100.0,3.0,4,1,0,3,2,2,9
10002003026,5,3,90.0,3.0,3,1,0,3,2,2,7
10002003029,4,3,70.0,3.0,4,0,0,3,2,2,6
10002003032,4,2,80.0,3.0,4,1,0,3,2,2,6
10002003035,4,3,70.0,3.0,4,1,0,3,2,2,7
10003003119,5,4,60.0,1.0,4,0,0,3,2,2,5
10003003122,4,3,80.0,3.0,4,1,0,3,2,2,7
10003003126,4,4,64.0,2.0,4,0,1,3,2,2,5
10003003127,4,4,70.0,1.0,4,1,0,3,2,2,8
10003003132,4,5,130.0,2.0,4,1,0,3,2,2,7
10003003135,4,3,52.0,1.0,4,0,0,3,2,2,1
10003003219,5,5,200.0,1.0,4,1,0,3,2,2,7
10003003223,4,4,140.0,3.0,4,1,0,3,2,2,7
