,Address,total_cost
334,20006389517,17545000.0
335,20006389520,7500000.0
336,20006389523,58272000.0
337,20006389607,94459000.0
338,20006389608,87372000.0
339,20006389616,1195805000.0
340,20006389618,165197000.0
341,20006389620,98409500.0
342,20006389623,32290776.0
343,20006389710,83592000.0
344,20006389711,164355000.0
345,20006389717,19700000.0
346,20006389718,310985000.0
347,20006389720,201654000.0
348,20006389723,216023000.0
349,20006389808,230462164.0
350,20006389812,122899388.0
351,20006389814,618697940.0
352,20006389817,255241552.0
353,20006389820,45733552.0
354,20006389823,13536940.0
355,20006389909,69714000.0
356,20006389911,23251388.0
357,20006389914,133930000.0
358,20006389916,108949000.0
359,20006389920,113182552.0
360,20006389923,166657552.0
361,20006390008,20937552.0
362,20006390009,58012776.0
363,20006390017,41348164.0
364,20006390018,95193164.0
365,20006390020,326301940.0
366,20006390023,41242940.0
367,20006390110,102479552.0
368,20006390111,129202288.0
369,20006390113,18638776.0
370,20006390118,63179164.0
371,20006390120,106726940.0
372,20006390123,33370000.0
373,20006390209,13096940.0
374,20006390211,6022000.0
375,20006390213,159212000.0
376,20006390218,68471000.0
377,20006390220,385651000.0
378,20006390223,405839000.0
379,20006390308,6635000.0
380,20006390310,126535000.0
381,20006390314,104000000.0
382,20006390315,93308164.0
383,20006390320,48210000.0
384,20006390323,715744000.0
385,20006390407,11242164.0
386,20006390412,3779388.0
387,20006390414,7604388.0
388,20006390416,80173328.0
389,20006390420,22225000.0
390,20006390423,400558164.0
391,20006390508,38940000.0
392,20006390512,111264388.0
393,20006390516,21524388.0
394,20006390520,43016776.0
395,20006390523,66963776.0
396,20006390608,70977552.0
397,20006390611,32000104.0
398,20006390614,15708164.0
399,20006390617,42111940.0
400,20006390620,136972500.0
401,20006390623,47280000.0
402,20006390709,7004388.0
403,20006390712,86910000.0
404,20006390713,7084388.0
405,20006390715,31454388.0
406,20006390720,83717552.0
407,20006390723,182739388.0
408,20006390808,51427552.0
409,20006390810,175707776.0
410,20006390815,20710776.0
411,20006390816,93152328.0
412,20006390820,34548000.0
413,20006390823,69964940.0
414,20007390908,145123000.0
415,20007390912,832216000.0
416,20007390914,17308776.0
417,20007390917,140658000.0
418,20007390920,43596164.0
419,20007390923,28488164.0
420,20007391008,21323000.0
421,20007391009,55854000.0
422,20007391015,165531000.0
423,20007391017,65529000.0
424,20007391020,82162000.0
425,20007391023,300484000.0
426,20007391108,105758164.0
427,20007391110,101091000.0
428,20007391116,100902000.0
429,20007391117,205679940.0
430,20007391120,134227164.0
431,20007391123,24075776.0
432,20007391208,63269940.0
433,20007391211,43778776.0
434,20007391215,104103164.0
435,20007391217,6091388.0
436,20007391220,17608776.0
437,20007391223,54779164.0
438,20007391309,193644000.0
439,20007391312,68216940.0
440,20007391317,123820000.0
441,20007391318,132391776.0
442,20007391320,180273288.0
443,20007391323,167657164.0
444,20007391407,3086388.0
445,20007391408,16478052.0
446,20007391414,31971000.0
447,20007391415,57354000.0
448,20007391420,55157000.0
449,20007391423,62287552.0
450,20007391508,25573776.0
451,20007391511,119147940.0
452,20007391514,16707000.0
453,20007391515,86500000.0
454,20007391520,82684776.0
455,20007391523,37843164.0
456,20007391608,194660164.0
457,20007391611,47371328.0
458,20007391614,128381164.0
459,20007391616,338041164.0
460,20007391620,33758776.0
461,20007391623,29788164.0
462,20007391708,36293164.0
463,20007391711,12829388.0
464,20007391714,120096776.0
465,20007391717,216228164.0
466,20007391720,26885940.0
467,20007391723,8251276.0
468,20007391808,14442164.0
469,20007391811,10903000.0
470,20007391814,10322776.0
471,20007391817,39859940.0
472,20007391820,37165940.0
473,20007391823,34577000.0
474,20007391908,48193164.0
475,20007391909,68916940.0
476,20007391915,85669552.0
477,20007391918,17533000.0
478,20007391920,44533552.0
479,20007391923,11546388.0
480,20007392008,117728388.0
481,20007392011,12214388.0
482,20007392014,13902552.0
483,20007392015,11089388.0
484,20007392020,19168000.0
485,20007392023,14505000.0
486,20007392110,8379388.0
487,20007392111,15709388.0
488,20007392113,16298776.0
489,20007392115,8700000.0
490,20007392120,29276000.0
491,20007392123,500178552.0
492,20007392208,42753552.0
493,20007392211,77233776.0
494,20007392214,4811388.0
495,20007392217,218244000.0
496,20007392220,46918776.0
497,20007392223,19629000.0
498,20007392308,28325000.0
499,20007392311,125026000.0
500,20007392313,66556000.0
501,20007392317,9593388.0
502,20007392320,76443000.0
503,20007392323,35583000.0
504,20007392409,41059776.0
505,20007392411,34331552.0
506,20007392415,129887776.0
507,20007392417,129389776.0
508,20007392420,71902164.0
509,20007392423,70264276.0
510,20007392508,184497552.0
511,20007392511,14743776.0
512,20007392513,27959388.0
513,20007392515,71910000.0
514,20007392520,94454000.0
515,20007392523,72823684.0
516,20007392608,58293000.0
517,20007392611,58484000.0
518,20007392615,8920000.0
519,20007392616,88640000.0
520,20007392620,23231000.0
521,20007392623,317635000.0
522,20007392707,173974000.0
523,20007392708,55135000.0
524,20007392714,22362388.0
525,20007392716,101464164.0
526,20007392720,41666552.0
527,20007392723,64168940.0
528,20009392809,15390000.0
529,20009392811,111183000.0
530,20009392813,176253000.0
531,20009392814,98768776.0
532,20009392820,204750000.0
533,20009392823,103719388.0
534,20009392908,57627164.0
535,20009392909,167505000.0
536,20009392913,1197878000.0
537,20009392914,312857288.0
538,20009392920,311763164.0
539,20009392923,260527552.0
540,20009393008,90193684.0
541,20009393011,32750000.0
542,20009393015,81005388.0
543,20009393017,1078477552.0
544,20009393020,107806552.0
545,20009393023,141555000.0
546,20009393109,85202000.0
547,20009393112,8880000.0
548,20009393114,203560000.0
549,20009393118,33324000.0
550,20009393120,9170000.0
551,20009393123,89571000.0
552,20009393208,132388000.0
553,20009393211,73289164.0
554,20009393213,20502000.0
555,20009393216,75475164.0
556,20009393220,46658776.0
557,20009393223,79762000.0
558,20009393307,147860000.0
559,20009393308,166575000.0
560,20009393317,53590000.0
561,20009393318,112276000.0
562,20009393320,12393776.0
563,20009393323,50866000.0
564,20010393407,941505940.0
565,20010393411,10168776.0
566,20010393414,7295000.0
567,20010393415,280297552.0
568,20010393420,220549000.0
569,20010393423,116140000.0
570,20010393508,9764388.0
571,20010393511,14803776.0
572,20010393514,136645000.0
573,20010393516,214604388.0
574,20010393520,199645000.0
575,20010393523,189009000.0
576,20010393608,116590776.0
577,20010393611,111292000.0
578,20010393614,143597164.0
579,20010393617,77319776.0
580,20010393620,102120164.0
581,20010393623,89793164.0
582,20010393707,49134000.0
583,20010393708,6421000.0
584,20010393716,122375999.0
585,20010393718,281992000.0
586,20010393720,17978776.0
587,20010393723,134423164.0
588,20010393808,116875000.0
589,20010393810,195065552.0
590,20010393813,110613500.0
591,20010393818,1547159000.0
592,20010393820,103755000.0
593,20010393823,37135000.0
594,20010393907,173829552.0
595,20010393908,36317000.0
596,20010393914,117525000.0
597,20010393917,220731000.0
598,20010393920,602219000.0
599,20010393923,95183000.0
600,20010394020,84195000.0
601,20010394023,26606776.0
602,20010394110,64196328.0
603,20010394111,144643000.0
604,20010394114,507730000.0
605,20010394117,128545000.0
606,20010394120,265471998.0
607,20010394123,161965000.0
608,20010394208,256115328.0
609,20010394211,21248776.0
610,20010394214,195046164.0
611,20010394217,1787496940.0
612,20010394220,51536000.0
613,20010394223,65581940.0
614,20010394307,57404000.0
615,20010394310,116090552.0
616,20010394314,65950552.0
617,20010394315,273948552.0
618,20010394320,31429000.0
619,20010394323,143538000.0
620,20010394411,14240000.0
621,20010394412,43789388.0
622,20011394507,31492552.0
623,20011394508,304426388.0
624,20011394514,24235000.0
625,20011394517,672855000.0
626,20011394520,410165000.0
627,20011394523,1333852000.0
628,20011394608,61603776.0
629,20011394611,38783164.0
630,20011394613,71464388.0
631,20011394614,19052052.0
632,20011394620,310290164.0
633,20011394623,24404388.0
634,20011394708,49051164.0
635,20011394711,257805000.0
636,20011394714,27113164.0
637,20011394717,157853164.0
638,20011394720,9053776.0
639,20011394723,42556940.0
640,20011394807,41137552.0
641,20011394811,208720000.0
642,20011394813,37158164.0
643,20011394817,20162552.0
644,20011394820,68568164.0
645,20011394823,23219552.0
646,20011394910,150733164.0
647,20011394911,55558164.0
648,20011394914,140073164.0
649,20011394915,299993164.0
650,20011394920,100538164.0
651,20011394923,63267552.0
652,20011395008,170040000.0
653,20011395011,91483000.0
654,20011395014,37133000.0
655,20011395015,36275000.0
656,20011395020,25117164.0
657,20011395023,63460388.0
658,20011395109,22742552.0
659,20011395110,120612164.0
660,20011395114,1336585940.0
661,20011395117,343755000.0
662,20011395120,14800716.0
663,20011395123,30795776.0
664,20011395209,26937552.0
665,20011395216,74174552.0
666,20011395217,465650000.0
667,20011395220,155504000.0
668,20011395223,557212776.0
669,20011395309,75333164.0
670,20011395311,94258000.0
671,20011395317,72273776.0
672,20011395318,25150000.0
673,20011395320,269713000.0
674,20011395323,25031552.0
675,20011395407,61762552.0
676,20011395411,47215000.0
677,20011395415,100744164.0
678,20011395416,17730000.0
679,20011395420,72018164.0
680,20011395423,284412552.0
681,20012395508,50456164.0
682,20012395511,389342552.0
683,20012395516,6093776.0
684,20012395517,16688164.0
685,20012395520,31983164.0
686,20012395523,49296328.0
687,20012395610,49021164.0
688,20012395611,539515552.0
689,20012395614,43981000.0
690,20012395615,218551940.0
691,20012395620,67351552.0
692,20012395623,37519276.0
693,20012395708,214228776.0
694,20012395711,167524940.0
695,20012395713,7735000.0
696,20012395714,710531940.0
697,20012395720,25071388.0
698,20012395723,207370000.0
699,20012395808,12384776.0
700,20012395811,88699500.0
701,20012395814,22361388.0
702,20012395817,32516552.0
703,20012395820,149695000.0
704,20012395823,73854664.0
705,20012395908,33327164.0
706,20012395911,212353940.0
707,20012395915,18637500.0
708,20012395917,131362552.0
709,20012395920,107883776.0
710,20012395923,1154373776.0
711,20012396008,70069940.0
712,20012396011,100436552.0
713,20012396014,22052552.0
714,20012396017,216266552.0
715,20012396020,24231776.0
716,20012396023,32653776.0
717,20012396111,47908776.0
718,20012396112,34613164.0
719,20012396115,12093552.0
720,20012396117,184311940.0
721,20012396120,23047940.0
722,20012396123,41870552.0
723,20012396208,31672552.0
724,20012396211,27585552.0
725,20012396213,42477776.0
726,20012396214,22307776.0
727,20012396220,37603552.0
728,20012396223,140308776.0
729,20012396308,328561776.0
730,20012396311,263118552.0
731,20012396314,41742552.0
732,20012396317,95770776.0
733,20012396320,62654552.0
734,20012396323,15388776.0
735,20012396410,166670104.0
736,20012396411,521341940.0
737,20012396415,49345552.0
738,20012396416,11223552.0
739,20012396420,46420716.0
740,20012396423,62335776.0
741,20012396507,60643940.0
742,20012396508,182693776.0
743,20012396517,125047288.0
744,20012396518,69062552.0
745,20012396520,284606000.0
746,20012396523,209960000.0
747,20012396607,7320388.0
748,20012396609,17049776.0
749,20012396614,18754388.0
