Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
20001385607,1,0,1,58.0,1,0,3,0,3
20001385608,3,2,1,20.666666666666668,2,0,9,4,1
20001385616,4,1,3,25.25,4,2,3,3,1
20001385617,3,1,2,19.333333333333332,2,0,2,4,1
20001385620,2,1,1,68.5,1,0,3,1,1
20001385623,3,2,1,31.666666666666668,3,1,3,4,1
20001385707,5,3,2,19.6,3,1,6,5,2
20001385711,3,0,3,60.333333333333336,2,0,3,0,2
20001385716,4,1,3,26.5,3,1,3,4,1
20001385717,4,2,2,26.75,3,1,9,4,1
20001385720,3,3,0,47.666666666666664,2,0,3,1,2
20001385723,3,2,1,50.333333333333336,1,0,6,4,1
20002385808,1,0,1,70.0,0,0,6,1,3
20002385811,2,1,1,71.0,0,0,6,4,1
20002385814,4,1,3,22.75,4,2,3,3,1
20002385817,2,1,1,65.0,2,0,3,4,1
20002385820,3,2,1,41.333333333333336,3,0,3,4,1
20002385823,3,2,1,37.666666666666664,3,0,3,4,1
20002385909,3,2,1,66.0,2,0,3,2,1
20002385911,1,0,1,76.0,0,0,6,1,1
20002385915,1,0,1,75.0,0,0,6,1,3
20002385916,6,3,3,42.166666666666664,5,0,2,4,2
20002385920,3,2,1,41.0,2,0,6,1,3
20002385923,1,0,1,80.0,0,0,6,1,3
20002386008,2,1,1,80.5,0,0,6,1,1
20002386011,2,1,1,71.5,0,0,6,1,1
20002386015,3,1,2,56.0,3,0,3,1,1
20002386020,3,1,2,47.333333333333336,2,0,6,1,2
20002386023,5,3,2,49.4,4,0,3,4,2
20002386108,5,2,3,41.6,3,1,6,4,2
20002386111,6,4,2,33.333333333333336,4,0,6,4,1
20002386115,3,2,1,56.666666666666664,1,0,6,4,1
20002386117,3,1,2,45.0,2,1,3,4,1
20002386120,4,3,1,42.0,2,0,6,4,1
20002386123,5,3,2,23.8,4,2,3,3,2
20002386211,3,1,2,73.33333333333333,2,0,3,0,1
20002386212,1,0,1,92.0,0,0,6,1,3
20002386213,1,0,1,85.0,0,0,6,1,3
20002386216,2,1,1,84.5,0,0,6,4,1
20002386220,3,2,1,47.0,3,0,3,1,1
20002386223,2,0,2,39.0,1,0,6,1,3
20002386310,2,0,2,55.0,2,0,3,1,3
20002386311,2,1,1,82.5,0,0,6,4,1
