Address,member,ISCO_w,ISIC_w,hours_w,days_w,income_w_m,income_w_y,netincome_w_m,netincome_w_y,Fasl,year
21803585426,1,7111,41000.0,8,3,45000000,540000000,45000000,540000000,3,1401
21803585429,1,9314,41000.0,9,4,50000000,600000000,50000000,600000000,3,1401
21803585435,1,7122,43300.0,7,5,55000000,660000000,55000000,660000000,3,1401
21803585441,1,9211,1130.0,10,6,45000000,540000000,45000000,540000000,3,1401
21803585829,4,9412,56100.0,10,6,30000000,360000000,30000000,360000000,3,1401
21803585830,1,7119,43900.0,12,5,160500000,1926000000,150000000,1800000000,3,1401
21803585832,2,9314,41000.0,7,2,15000000,180000000,15000000,180000000,3,1401
21803585841,1,9314,35200.0,11,5,90950000,1091400000,85000000,1020000000,3,1401
21804586233,1,8332,49230.0,10,5,85000000,85000000,85000000,85000000,3,1401
21804586235,1,9314,41000.0,8,4,40000000,480000000,40000000,480000000,3,1401
21804586238,3,5224,56100.0,8,6,10700000,128400000,10000000,120000000,3,1401
21804586638,2,9314,41000.0,4,3,15000000,180000000,15000000,180000000,3,1401
21804586638,3,2342,85101.0,5,5,64200000,770400000,60000000,720000000,3,1401
21805587033,1,6111,1130.0,14,7,95000000,1140000000,95000000,1140000000,3,1401
21805587038,1,1114,73100.0,10,7,112000000,1344000000,112000000,1344000000,3,1401
21805587427,1,6225,3110.0,10,2,42800000,513600000,40000000,480000000,3,1401
21805587432,1,1120,3110.0,7,6,80250000,963000000,75000000,900000000,3,1401
21805587438,1,8350,50120.0,14,7,53500000,642000000,50000000,600000000,3,1401
21805587441,2,6225,50120.0,10,4,32100000,385200000,30000000,360000000,3,1401
21805587441,3,6225,50120.0,10,4,32100000,385200000,30000000,360000000,3,1401
21806587826,1,6225,3120.0,14,7,60000000,720000000,60000000,720000000,3,1401
21806587832,4,6225,3120.0,4,4,30000000,360000000,30000000,360000000,3,1401
21806587832,5,6225,3120.0,4,4,30000000,360000000,30000000,360000000,3,1401
21806587832,6,6225,3120.0,4,4,30000000,360000000,30000000,360000000,3,1401
21806587841,2,6225,3120.0,5,7,70000000,840000000,70000000,840000000,3,1401
21807588230,1,5414,96092.0,8,6,69550000,834600000,65000000,780000000,3,1401
21807588232,1,7522,31000.0,9,6,45000000,540000000,45000000,540000000,3,1401
21807588236,2,5224,47212.0,9,5,15000000,180000000,15000000,180000000,3,1401
21807588238,1,8322,49220.0,8,7,50000000,600000000,50000000,600000000,3,1401
21807588241,1,2151,35100.0,8,5,128400000,1540800000,120000000,1440000000,3,1401
21807588426,1,5224,47520.0,10,6,64200000,770400000,60000000,720000000,3,1401
21807588432,3,6225,3120.0,14,3,38000000,456000000,38000000,456000000,3,1401
21807588432,4,6225,3120.0,14,3,38000000,456000000,38000000,456000000,3,1401
21807588433,1,6225,3120.0,14,3,40000000,480000000,40000000,480000000,3,1401
21807588726,1,8332,49230.0,8,3,60000000,720000000,60000000,720000000,3,1401
21807588726,4,6225,3120.0,12,2,60000000,720000000,60000000,720000000,3,1401
21807588735,1,9314,43110.0,7,4,60000000,720000000,60000000,720000000,3,1401
21807588738,1,7111,41000.0,5,7,85000000,1020000000,85000000,1020000000,3,1401
21807588741,1,9314,41000.0,4,4,80000000,960000000,80000000,960000000,3,1401
21808589129,3,9314,41000.0,5,3,35000000,420000000,35000000,420000000,3,1401
21808589134,1,9314,41000.0,8,3,40000000,480000000,40000000,480000000,3,1401
21808589141,1,9112,6100.0,12,7,160500000,1926000000,150000000,1800000000,3,1401
21808589529,1,4110,19200.0,12,4,149800000,1797600000,140000000,1680000000,3,1401
21808589538,4,4110,35200.0,8,6,85600000,1027200000,80000000,960000000,3,1401
21808589538,5,8322,49230.0,9,6,42800000,513600000,40000000,480000000,3,1401
21808589541,1,9314,41000.0,6,4,40000000,480000000,40000000,480000000,3,1401
21809589925,1,4110,84300.0,9,5,168000000,2016000000,160000000,1920000000,3,1401
21809589927,1,1345,85101.0,7,6,112000000,1344000000,105000000,1260000000,3,1401
21809589932,1,8322,49220.0,12,4,95000000,1140000000,90000000,1080000000,3,1401
21809589933,1,7412,43290.0,6,5,107000000,1284000000,100000000,1200000000,3,1401
21809589941,1,2341,85101.0,18,6,85000000,1020000000,82000000,984000000,3,1401
21809590325,1,9112,20120.0,9,7,125000000,1500000000,120000000,1440000000,3,1401
21809590329,1,9112,84130.0,9,6,150000000,1800000000,141000000,1692000000,3,1401
21809590332,1,8322,49220.0,12,7,100000000,1200000000,95000000,1140000000,3,1401
21809590335,1,7521,16220.0,8,5,95000000,1140000000,90000000,1080000000,3,1401
21809590341,1,3359,6200.0,12,7,170000000,2040000000,165000000,1980000000,3,1401
21810590734,1,4110,84300.0,8,5,107000000,1284000000,100000000,1200000000,3,1401
21810590738,1,9112,84300.0,8,7,96300000,1155600000,90000000,1080000000,3,1401
21810591126,1,7413,35100.0,12,6,115000000,1380000000,110000000,1320000000,3,1401
21810591127,1,5414,9100.0,12,7,102000000,1224000000,100000000,1200000000,3,1401
21810591132,1,6225,3110.0,14,3,154000000,1848000000,150000000,1800000000,3,1401
21810591135,1,9112,6100.0,12,7,150000000,1800000000,143000000,1716000000,3,1401
21810591138,1,8332,49230.0,14,6,120000000,1440000000,115000000,1380000000,3,1401
21810591530,1,3134,35200.0,4,7,121000000,1452000000,115000000,1400000000,3,1401
21810591532,1,8322,49220.0,7,7,45000000,540000000,45000000,540000000,3,1401
21810591532,2,2341,85101.0,6,4,81000000,972000000,70000000,840000000,3,1401
21810591535,1,9314,41000.0,8,5,50000000,600000000,50000000,600000000,3,1401
21810591538,1,6113,1300.0,7,6,70000000,840000000,70000000,840000000,3,1401
21810591541,1,9112,19200.0,10,7,151000000,1812000000,145000000,1740000000,3,1401
21901591626,1,9314,41000.0,8,4,50000000,400000000,50000000,400000000,3,1401
21901591635,1,9314,41000.0,8,2,0,90000000,0,90000000,3,1401
21901591635,1,9214,1210.0,6,2,0,70000000,0,70000000,3,1401
21901591641,1,9212,1620.0,3,4,7500000,70000000,7500000,70000000,3,1401
21901591641,1,9214,1210.0,3,4,0,90000000,0,90000000,3,1401
21901591641,1,9314,41000.0,3,4,0,90000000,0,90000000,3,1401
21901591641,3,8121,29100.0,12,7,102434000,1215708000,95000000,1145000000,3,1401
21901592026,1,9314,41000.0,5,4,0,30000000,0,30000000,3,1401
21901592032,1,9214,1210.0,4,5,0,200000000,0,200000000,3,1401
21901592032,1,9314,41000.0,4,4,0,60000000,0,60000000,3,1401
21901592032,3,9314,41000.0,3,5,0,50000000,0,50000000,3,1401
21901592032,3,9214,1210.0,4,5,0,120000000,0,120000000,3,1401
21901592032,3,9212,1440.0,3,4,0,30000000,0,30000000,3,1401
21901592035,1,9314,41000.0,8,4,0,540000000,0,540000000,3,1401
