Address,member,subsidy_number,subsidy_month,subsidy,Fasl,year
10001002423,1,2.0,12.0,10920000,1,1401
10001002419,1,4.0,12.0,10920000,1,1401
10001001128,1,2.0,12.0,10920000,1,1401
10006006335,1,1.0,12.0,1260000,1,1401
10006006335,2,4.0,12.0,21840000,1,1401
10004003835,1,1.0,12.0,1260000,1,1401
10004003835,2,2.0,12.0,10920000,1,1401
10012010135,1,1.0,12.0,1260000,1,1401
10012010135,2,1.0,12.0,5460000,1,1401
10007007223,1,1.0,12.0,1260000,1,1401
10007007223,2,2.0,12.0,10920000,1,1401
10001002432,1,3.0,12.0,16380000,1,1401
10012010132,1,3.0,12.0,16380000,1,1401
10001001135,1,1.0,12.0,5460000,1,1401
10001002435,1,1.0,12.0,5460000,1,1401
10012010128,1,3.0,12.0,16380000,1,1401
10012010128,1,1.0,12.0,1260000,1,1401
10001001132,1,1.0,12.0,5460000,1,1401
10009008535,1,4.0,12.0,21840000,1,1401
10002002830,1,2.0,12.0,10920000,1,1401
10002002829,1,1.0,12.0,1960000,1,1401
10002002829,2,2.0,12.0,10920000,1,1401
10009008129,1,1.0,12.0,1960000,1,1401
10009008129,2,3.0,12.0,16380000,1,1401
10001001119,2,1.0,12.0,5460000,1,1401
10005005120,1,1.0,12.0,1260000,1,1401
10005005120,2,2.0,12.0,10920000,1,1401
10001000627,1,1.0,12.0,1610000,1,1401
10001000627,2,4.0,12.0,21840000,1,1401
10001000632,1,1.0,12.0,1610000,1,1401
10001000632,2,2.0,12.0,10920000,1,1401
10001001125,1,3.0,12.0,16380000,1,1401
10113024023,1,1.0,12.0,1960000,1,1401
10113024023,2,3.0,12.0,16380000,1,1401
10107019224,1,1.0,12.0,1960000,1,1401
10102012026,1,1.0,12.0,1960000,1,1401
10102012026,2,1.0,12.0,5460000,1,1401
10102012035,1,1.0,12.0,1960000,1,1401
10102012035,2,3.0,12.0,16380000,1,1401
10102012021,1,1.0,12.0,1960000,1,1401
10102012021,2,3.0,12.0,16380000,1,1401
10102012029,1,1.0,12.0,1960000,1,1401
10102012029,2,2.0,12.0,10920000,1,1401
10113024035,1,1.0,12.0,1960000,1,1401
10113024035,2,3.0,12.0,16380000,1,1401
10113024026,1,3.0,12.0,16380000,1,1401
10107019235,1,1.0,12.0,1960000,1,1401
10107019235,2,3.0,12.0,16380000,1,1401
10107019229,1,1.0,12.0,5460000,1,1401
10101010835,1,1.0,12.0,1960000,1,1401
10101010835,2,1.0,12.0,5460000,1,1401
10106018020,1,1.0,12.0,1960000,1,1401
10101010827,1,1.0,12.0,1960000,1,1401
10101010827,2,3.0,12.0,16380000,1,1401
10103013223,1,1.0,12.0,1960000,1,1401
10103013223,2,3.0,12.0,16380000,1,1401
10101010822,1,1.0,12.0,1960000,1,1401
10108020420,1,1.0,12.0,1960000,1,1401
10108020420,2,3.0,12.0,16380000,1,1401
10101010832,1,3.0,12.0,16380000,1,1401
10101010829,1,1.0,12.0,1960000,1,1401
10101010829,2,2.0,12.0,10920000,1,1401
10101011229,1,2.0,12.0,10920000,1,1401
10106018029,1,1.0,12.0,1960000,1,1401
10106018029,2,1.0,12.0,5460000,1,1401
10101011232,1,1.0,12.0,1610000,1,1401
10101011232,2,1.0,12.0,5460000,1,1401
10101011226,1,1.0,12.0,1610000,1,1401
10106018419,1,1.0,12.0,1610000,1,1401
10106018419,2,3.0,12.0,16380000,1,1401
10105015620,1,1.0,12.0,5460000,1,1401
10108020429,1,1.0,12.0,1960000,1,1401
10108020429,2,2.0,12.0,10920000,1,1401
10108020432,1,1.0,10.0,4550000,1,1401
10108020432,1,1.0,12.0,1960000,1,1401
10108020432,2,3.0,12.0,16380000,1,1401
10106018026,1,1.0,12.0,1960000,1,1401
10106018026,2,1.0,12.0,5460000,1,1401
