member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst
3,1,2,30.333333333333332,3,1,9,1,2
3,2,1,56.333333333333336,2,0,3,4,1
2,0,2,67.0,1,0,6,1,3
2,1,1,62.5,0,0,6,4,1
2,0,2,59.0,1,0,6,1,3
3,1,2,45.0,2,0,3,1,1
3,1,2,48.666666666666664,3,1,3,4,1
2,1,1,34.5,1,1,6,1,3
4,3,1,19.5,3,1,1,4,1
5,3,2,30.6,5,2,2,4,2
3,1,2,32.333333333333336,3,1,2,5,1
3,2,1,23.333333333333332,2,0,9,5,1
4,1,3,37.0,4,0,3,2,0
2,0,2,68.0,0,0,6,1,3
4,1,3,32.25,4,2,3,3,1
4,2,2,25.25,4,2,9,3,1
1,0,1,61.0,0,0,6,1,3
2,1,1,35.0,1,0,6,1,3
1,1,0,85.0,0,0,6,4,3
2,1,1,58.5,2,0,9,4,1
2,1,1,67.0,0,0,6,4,1
2,1,1,60.0,0,0,6,4,1
1,1,0,78.0,0,0,6,4,3
2,1,1,74.5,0,0,6,4,1
5,3,2,14.4,2,0,6,5,2
2,1,1,60.0,1,0,2,4,0
2,1,1,56.5,0,0,6,4,1
3,1,2,53.333333333333336,1,1,6,4,1
3,2,1,50.0,1,0,6,4,1
3,1,2,31.666666666666668,3,1,3,4,1
4,2,2,21.0,4,2,3,3,1
4,2,2,19.75,3,1,3,4,1
2,1,1,67.0,1,0,3,1,1
3,2,1,38.0,3,1,2,4,1
2,1,1,69.0,0,0,6,1,1
4,3,1,37.25,4,1,3,4,1
2,0,2,58.5,1,0,6,1,3
3,2,1,43.333333333333336,3,0,3,4,1
2,1,1,62.0,0,0,6,4,1
4,3,1,46.25,4,0,3,4,1
2,1,1,60.5,1,0,6,4,1
2,1,1,66.0,0,0,6,4,1
2,0,2,51.5,0,0,6,1,3
3,1,2,43.0,3,0,9,4,1
2,1,1,61.5,1,0,3,5,1
5,3,2,23.6,5,3,3,3,2
1,0,1,76.0,0,0,6,1,3
4,3,1,20.75,2,0,6,5,2
2,1,1,62.5,0,0,6,4,1
3,1,2,45.333333333333336,3,1,3,4,1
1,0,1,70.0,0,0,6,1,3
1,0,1,80.0,0,0,6,1,3
2,1,1,75.0,1,0,3,1,1
2,1,1,71.0,0,0,6,4,1
1,0,1,82.0,0,0,6,1,3
4,2,2,24.25,3,0,3,0,1
1,0,1,54.0,0,0,6,1,3
3,1,2,53.333333333333336,2,0,3,0,1
4,2,2,21.25,3,1,3,4,1
3,2,1,35.333333333333336,3,0,9,4,1
3,2,1,36.333333333333336,3,0,3,4,2
5,3,2,28.8,4,1,3,4,2
1,0,1,66.0,0,0,6,1,3
2,1,1,53.5,1,0,3,4,1
3,2,1,42.333333333333336,3,1,3,4,1
3,2,1,29.0,3,1,3,5,1
2,1,1,50.5,2,0,3,4,1
3,1,2,56.333333333333336,2,0,9,0,1
4,1,3,34.25,4,2,3,3,1
6,2,4,27.0,5,1,3,4,1
4,1,3,28.0,4,2,3,3,1
4,2,2,49.5,4,0,3,4,1
3,1,2,54.333333333333336,2,0,3,1,1
4,1,3,31.75,4,2,3,3,1
5,1,4,18.6,3,1,3,5,2
2,1,1,50.0,1,0,3,4,1
1,0,1,70.0,0,0,6,1,3
2,1,1,40.0,1,0,6,1,3
4,2,2,39.75,2,0,6,4,1
1,0,1,67.0,0,0,6,1,3
4,2,2,23.25,3,1,9,4,1
1,0,1,75.0,0,0,6,1,3
5,3,2,24.6,4,1,2,4,2
3,1,2,37.666666666666664,3,0,3,0,1
2,1,1,40.5,2,0,3,1,3
4,3,1,28.5,4,2,3,3,1
4,2,2,17.0,3,1,2,4,1
1,0,1,86.0,0,0,6,1,3
1,0,1,60.0,0,0,6,1,3
4,2,2,39.75,4,1,0,4,1
4,2,2,32.25,4,1,0,4,1
4,2,2,33.25,3,1,6,1,2
1,1,0,74.0,1,0,3,1,3
4,1,3,38.0,4,0,0,5,1
2,0,2,43.5,2,0,3,1,0
2,1,1,63.0,0,0,6,4,1
1,0,1,60.0,0,0,6,1,3
2,1,1,76.0,0,0,6,1,1
1,0,1,85.0,0,0,6,1,3
6,4,2,36.833333333333336,5,1,3,4,1
3,2,1,36.0,3,1,9,1,1
6,2,4,35.333333333333336,5,3,3,3,2
2,1,1,59.0,1,0,3,1,1
3,2,1,40.0,3,1,3,4,1
3,1,2,54.333333333333336,1,0,6,1,1
4,1,3,33.75,4,1,3,4,1
3,2,1,50.666666666666664,3,0,3,4,1
2,1,1,76.0,1,0,3,1,1
1,0,1,85.0,0,0,6,1,3
2,1,1,67.5,1,0,3,4,1
2,1,1,62.0,1,0,6,1,3
4,1,3,53.5,3,1,9,1,1
5,4,1,49.6,4,0,2,4,1
4,3,1,37.25,4,2,3,3,1
4,2,2,33.25,4,2,2,3,1
2,1,1,61.5,0,0,6,1,1
2,1,1,66.5,0,0,6,4,1
4,3,1,38.5,4,0,3,4,1
3,2,1,47.666666666666664,2,0,6,4,1
4,3,1,51.5,3,1,3,4,1
5,2,3,23.0,4,2,3,3,2
3,2,1,35.666666666666664,3,1,3,4,3
3,2,1,28.333333333333332,3,1,2,4,1
3,1,2,34.333333333333336,3,1,5,4,1
5,2,3,28.4,5,3,0,3,2
4,1,3,24.5,3,1,2,4,1
2,1,1,53.5,1,0,3,1,1
7,2,5,21.428571428571427,5,0,3,0,2
4,2,2,14.25,2,0,3,5,1
6,3,3,12.0,3,1,6,5,2
6,1,5,14.5,2,2,6,3,2
7,4,3,32.285714285714285,2,1,6,0,1
7,3,4,17.714285714285715,4,3,6,3,2
3,2,1,39.666666666666664,1,0,6,2,1
2,1,1,31.0,2,0,9,1,3
5,2,3,31.8,5,2,9,4,1
4,1,3,32.25,4,0,9,1,1
2,0,2,64.0,1,0,3,0,0
4,1,3,32.0,4,2,3,3,1
5,2,3,15.6,3,1,6,5,2
3,1,2,42.666666666666664,3,0,3,4,1
4,1,3,42.25,3,0,9,0,1
1,1,0,36.0,1,0,3,4,0
4,2,2,20.5,3,1,0,4,1
4,1,3,24.0,4,2,9,3,1
3,2,1,42.0,1,1,6,1,1
1,0,1,65.0,0,0,6,1,3
3,2,1,55.0,1,0,6,1,1
6,2,4,22.333333333333332,5,4,4,3,2
4,3,1,43.5,3,0,3,4,1
3,2,1,46.666666666666664,2,0,3,4,1
3,1,2,31.333333333333332,2,1,6,4,2
4,3,1,34.0,4,1,3,4,1
3,2,1,50.0,2,0,3,4,1
4,3,1,36.25,4,1,9,4,1
5,4,1,34.8,5,1,3,5,2
4,2,2,36.0,4,0,3,0,1
4,3,1,16.25,1,1,6,4,1
4,1,3,25.25,4,2,2,3,1
4,2,2,35.75,4,1,9,4,1
3,2,1,51.0,2,0,6,4,1
3,1,2,49.0,3,0,7,0,1
3,1,2,31.0,3,1,9,4,1
4,2,2,20.25,3,1,3,4,1
6,4,2,38.5,4,0,3,4,2
5,2,3,22.6,4,2,3,3,2
4,2,2,32.25,4,1,3,4,1
3,1,2,19.333333333333332,2,0,2,4,1
4,1,3,36.75,4,0,9,0,1
5,3,2,35.0,5,2,3,4,2
3,1,2,29.0,3,1,3,4,1
3,1,2,27.333333333333332,3,1,9,4,1
5,3,2,39.2,5,2,3,3,1
2,0,2,33.0,2,1,3,1,3
4,3,1,26.5,4,2,3,3,1
4,2,2,28.25,4,2,2,3,1
2,1,1,27.5,2,1,9,4,0
4,2,2,24.5,3,2,3,3,1
2,1,1,74.0,0,0,6,4,1
3,2,1,58.333333333333336,1,0,6,1,1
2,1,1,81.0,0,0,6,1,1
1,0,1,77.0,0,0,6,1,3
2,1,1,66.5,1,0,6,1,1
2,1,1,46.5,2,0,3,4,1
2,1,1,48.5,2,0,3,1,3
2,1,1,86.0,0,0,6,1,1
1,0,1,68.0,1,0,3,1,3
5,3,2,32.2,4,2,0,3,2
3,2,1,59.666666666666664,3,0,3,1,1
3,2,1,64.33333333333333,3,0,3,4,1
2,1,1,37.5,2,0,2,1,1
2,1,1,43.0,2,0,3,1,3
2,1,1,49.5,0,0,6,4,1
2,1,1,67.5,2,0,2,4,1
4,2,2,44.0,4,0,2,0,1
2,1,1,67.0,2,0,2,1,1
