Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20001385632,2,1,1,54.5,1.0,0.0,3,4,1,22,1,4,4,100.0,3.0,4,1,1,3,4,4,7,386460776.0,367270000.0
20001385635,4,1,3,16.75,0.5,0.0,6,5,1,22,1,5,4,90.0,3.0,4,0,1,3,4,4,9,194400000.0,50000000.0
20001385720,3,3,0,49.66666666666666,0.6666666666666666,0.0,3,1,2,22,1,4,4,80.0,3.0,4,1,0,3,4,4,5,104150000.0,765180000.0
20001385722,4,1,3,23.0,0.75,0.25,9,4,1,22,1,4,4,100.0,1.0,4,0,0,3,4,4,6,38580000.0,49640000.0
20001385725,4,3,1,24.75,0.75,0.25,2,4,1,22,1,4,3,90.0,3.0,4,1,1,3,4,4,8,307080000.0,48160000.0
20001385730,1,0,1,72.0,0.0,0.0,6,1,2,22,1,0,3,70.0,3.0,3,0,0,3,4,4,3,45064388.0,141060000.0
20001385732,3,1,2,58.333333333333336,0.3333333333333333,0.0,6,0,1,22,1,4,2,50.0,3.0,4,0,1,3,4,4,8,83100000.0,239180000.0
20001385735,4,1,3,25.25,1.0,0.5,9,3,1,22,1,5,3,80.0,3.0,4,0,1,3,4,4,7,107627552.0,152400000.0
20002385819,2,1,1,53.0,1.0,0.0,3,4,1,22,2,4,4,110.0,3.0,1,1,1,3,4,4,8,157312776.0,568430000.0
20002385823,1,1,0,73.0,0.0,0.0,6,4,3,22,2,4,4,100.0,3.0,4,0,1,3,4,4,6,121954388.0,169860000.0
20002385825,3,1,2,45.333333333333336,1.0,0.0,3,0,1,22,2,4,3,90.0,3.0,1,0,1,3,4,4,7,44407552.0,381030000.0
20002385828,3,1,2,42.0,1.0,0.3333333333333333,3,4,1,22,2,4,4,120.0,3.0,1,1,1,3,4,4,9,372595000.0,477530000.0
20002385832,2,1,1,62.5,1.0,0.0,3,4,1,22,2,4,4,150.0,3.0,4,1,1,3,4,4,7,368906776.0,981430000.0
20002385835,4,2,2,52.5,0.5,0.0,6,0,1,22,2,4,4,140.0,1.0,4,1,0,3,4,4,7,58590000.0,441840000.0
20002385919,4,2,2,25.75,1.0,0.5,9,3,1,22,2,4,3,65.0,3.0,1,0,1,3,4,4,8,154807552.0,53000000.0
20002385922,2,1,1,77.0,0.0,0.0,6,4,1,22,2,4,4,80.0,3.0,7,0,0,3,4,4,6,57169000.0,314220000.0
20002385928,1,0,1,52.0,1.0,0.0,3,1,2,22,2,4,5,70.0,3.0,7,0,0,3,4,4,6,20619388.0,77060000.0
20002385930,2,1,1,74.0,0.5,0.0,7,4,1,22,2,4,4,60.0,3.0,7,0,1,3,4,4,6,113700776.0,352870000.0
