Address,total_income
20006390123,169020000.0
20006390209,117300000.0
20006390211,80520000.0
20006390213,660920000.0
20006390218,116260000.0
20006390220,23840000.0
20006390223,182520000.0
20006390308,27460000.0
20006390310,58380000.0
20006390314,317460000.0
20006390315,85980000.0
20006390320,53840000.0
20006390323,577200000.0
20006390407,82380000.0
20006390412,73460000.0
20006390414,18960000.0
20006390416,883760000.0
20006390420,258920000.0
20006390423,214880000.0
20006390508,113490000.0
20006390512,154460000.0
20006390516,126460000.0
20006390520,68070000.0
20006390523,270920000.0
20006390608,473840000.0
20006390611,236680000.0
20006390614,63080000.0
20006390617,532800000.0
20006390620,299920000.0
20006390623,21840000.0
20006390709,56580000.0
20006390712,226920000.0
20006390713,61960000.0
20006390715,61060000.0
20006390720,54840000.0
20006390723,29880000.0
20006390808,261590000.0
20006390810,157970000.0
20006390815,84370000.0
20006390816,215040000.0
20006390820,96660000.0
20006390823,53300000.0
20007390908,119340000.0
20007390912,443260000.0
20007390914,122920000.0
20007390917,20430000.0
20007390920,22100000.0
20007390923,17760000.0
20007391008,162920000.0
20007391009,172380000.0
20007391015,21840000.0
20007391017,350380000.0
20007391020,16380000.0
20007391023,376380000.0
20007391108,216380000.0
20007391110,16380000.0
20007391116,16380000.0
20007391117,287300000.0
20007391120,222380000.0
20007391123,194920000.0
20007391208,27300000.0
20007391211,217920000.0
20007391215,286380000.0
20007391217,45460000.0
20007391220,142920000.0
20007391223,238380000.0
20007391309,14070000.0
20007391312,103300000.0
20007391317,26940000.0
20007391318,170070000.0
20007391320,25240000.0
20007391323,234980000.0
20007391407,12660000.0
20007391408,21840000.0
20007391414,260920000.0
20007391415,120920000.0
20007391420,149460000.0
20007391423,304120000.0
20007391508,84920000.0
20007391511,238300000.0
20007391514,62920000.0
20007391515,217920000.0
20007391520,182920000.0
20007391523,184380000.0
20007391608,115400000.0
20007391611,44760000.0
20007391614,609056000.0
20007391616,839700000.0
20007391620,72520000.0
20007391623,544380000.0
20007391708,20520000.0
20007391711,118960000.0
20007391714,142270000.0
20007391717,37020000.0
20007391720,51050000.0
20007391723,38070000.0
20007391808,46380000.0
20007391811,63300000.0
20007391814,44920000.0
20007391817,27300000.0
20007391820,27300000.0
20007391823,177380000.0
20007391908,16380000.0
20007391909,52300000.0
20007391915,198840000.0
20007391918,31220000.0
20007391920,21840000.0
20007391923,40460000.0
20007392008,106420000.0
20007392011,22460000.0
20007392014,29290000.0
20007392015,10920000.0
20007392020,99230000.0
20007392023,41970000.0
20007392110,41460000.0
20007392111,66460000.0
20007392113,85120000.0
20007392115,75460000.0
20007392120,206640000.0
20007392123,66760000.0
20007392208,201840000.0
20007392211,248920000.0
20007392214,30660000.0
20007392217,256300000.0
20007392220,190920000.0
20007392223,16380000.0
20007392308,66840000.0
20007392311,161840000.0
20007392313,136380000.0
20007392317,105460000.0
20007392320,147300000.0
20007392323,181840000.0
20007392409,214920000.0
20007392411,21840000.0
20007392415,259920000.0
20007392417,352920000.0
20007392420,216880000.0
20007392423,269920000.0
20007392508,145280000.0
20007392511,44070000.0
20007392513,162070000.0
20007392515,37460000.0
20007392520,13020000.0
20007392523,116520000.0
20007392608,522760000.0
20007392611,256380000.0
20007392615,16380000.0
20007392616,16380000.0
20007392620,10920000.0
20007392623,32760000.0
20007392707,281840000.0
20007392708,179420000.0
20007392714,43460000.0
20007392716,286380000.0
20007392720,170340000.0
20007392723,298340000.0
20009392809,125460000.0
20009392811,463460000.0
20009392813,0.0
20009392814,320920000.0
20009392820,204260000.0
20009392823,18960000.0
20009392908,220490000.0
20009392909,437120000.0
