Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
10215032011,3,1,2,17.333333333333332,0.6666666666666666,0.0,5,4,1,23,15,0,4,110.0,2,4,0,0,3,2,3,6,96133660.0,35120000.0
10215032014,4,2,2,35.0,1.0,0.25,9,0,1,23,15,4,3,90.0,2,4,0,0,3,2,3,8,125318637.0,30070000.0
10215032017,4,3,1,42.5,1.0,0.25,2,1,1,23,15,4,4,110.0,2,4,1,0,3,2,3,9,256024530.0,568500000.0
10215032020,4,1,3,29.5,1.0,0.5,5,3,1,23,15,4,4,100.0,1,4,1,0,3,2,3,9,317805776.0,29560000.0
10215032023,4,2,2,18.25,0.75,0.25,3,4,1,23,15,6,3,70.0,2,4,1,0,3,2,3,7,52089272.0,28280000.0
10215032120,4,2,2,23.0,0.75,0.25,1,4,1,23,15,4,5,150.0,2,4,1,0,3,2,3,9,241371500.0,2421840000.0
10215032123,2,1,1,79.0,0.0,0.0,6,1,1,23,15,4,3,80.0,3,2,0,0,3,2,3,5,70374000.0,262720000.0
10215032218,4,3,1,34.75,1.0,0.5,2,3,1,23,15,4,5,130.0,2,4,1,0,3,2,3,7,186164000.0,190640000.0
10215032220,3,1,2,47.333333333333336,1.0,0.0,0,1,1,23,15,4,5,150.0,2,4,1,0,3,2,3,9,163033500.0,311300000.0
10215032223,4,2,2,32.0,1.0,0.5,0,3,1,23,15,4,4,100.0,2,4,0,0,3,2,3,7,295279667.0,0.0
10216032308,2,1,1,69.5,0.5,0.0,3,1,1,23,16,4,4,100.0,3,2,0,0,3,2,3,7,139356000.0,371420000.0
10216032312,3,2,1,32.666666666666664,1.0,0.3333333333333333,3,4,3,23,16,0,3,30.0,3,2,0,1,3,2,3,8,72996000.0,63380000.0
10216032320,4,2,2,29.25,1.0,0.5,0,3,1,23,16,5,5,150.0,2,4,1,0,3,2,3,8,684009500.0,177000000.0
10216032323,3,2,1,36.66666666666666,1.0,0.3333333333333333,1,4,1,23,16,4,6,130.0,3,2,1,1,3,2,3,10,178409000.0,364350000.0
10216032408,3,2,1,21.33333333333333,1.0,0.6666666666666666,9,3,2,23,16,4,4,90.0,3,2,0,0,3,2,3,9,85256000.0,171140000.0
10216032417,2,1,1,51.0,1.0,0.0,9,4,1,23,16,4,4,120.0,3,2,1,0,3,2,3,9,134748694.0,373920000.0
10216032420,2,1,1,76.0,1.0,0.0,2,1,1,23,16,4,5,130.0,3,4,1,0,3,2,3,8,288664000.0,836920000.0
10216032508,1,0,1,74.0,0.0,0.0,6,0,3,23,16,4,4,100.0,3,2,0,0,3,2,3,7,18187700.0,48045000.0
10216032611,3,2,1,22.33333333333333,0.6666666666666666,0.0,9,4,1,23,16,4,3,80.0,2,4,0,0,3,2,3,8,76233100.0,16380000.0
10216032614,6,3,3,42.333333333333336,1.0,0.1666666666666666,3,6,1,23,16,4,3,120.0,3,1,1,0,3,2,3,8,57368779.0,316991000.0
10216032623,3,1,2,51.333333333333336,1.0,0.0,2,1,1,23,16,4,5,140.0,2,4,1,0,3,2,3,11,452885999.0,435470000.0
10216032708,2,1,1,33.0,1.0,0.0,0,1,1,23,16,4,4,110.0,2,4,1,0,3,2,3,9,63180000.0,260920000.0
10216032711,1,0,1,50.0,1.0,0.0,3,1,1,23,16,4,5,140.0,2,4,1,0,3,2,3,8,33750189.0,119460000.0
10216032714,3,1,2,51.66666666666666,0.6666666666666666,0.0,9,4,1,23,16,4,4,112.0,3,4,0,0,3,2,3,8,222171877.0,11920000.0
10216032720,4,3,1,22.0,1.0,0.5,3,3,1,23,16,4,4,110.0,2,4,0,0,3,2,3,9,243463884.0,445340000.0
10218032808,3,2,1,41.66666666666666,1.0,0.0,3,4,1,23,18,4,4,90.0,2,4,1,0,3,2,3,9,124715704.0,19140000.0
10218032811,4,2,2,23.5,1.0,0.5,2,3,1,23,18,4,3,75.0,2,4,0,0,3,2,3,8,139617000.0,25840000.0
