Address,member,Male_count,Female_count,age,literacy,studying,degree,occupationalst,maritalst,province,town,tenure,room,space,construction,material,vehicle,motorcycle,cookingfuel,heatingfuel,waterheatingfuel,facilities,total_cost,total_income
20511448729,4,1,3,24.0,1.0,0.5,9,3,1,14,11,5,4,80.0,3.0,4,0,1,3,3,4,4,158230926.0,79650000.0
20511448732,3,2,1,20.0,1.0,0.3333333333333333,9,4,1,14,11,0,3,70.0,3.0,4,0,0,3,3,4,6,61727140.0,47050000.0
20511448735,4,1,3,26.5,1.0,0.5,2,3,1,14,11,4,3,100.0,3.0,4,1,0,3,3,4,8,108332520.0,85000000.0
20511448738,2,1,1,73.0,0.0,0.0,6,1,1,14,11,4,3,100.0,3.0,4,0,0,3,3,4,5,49189000.0,451900000.0
20511448741,4,3,1,28.0,1.0,0.5,3,3,1,14,11,4,4,110.0,3.0,4,1,0,3,3,4,6,327996000.0,79650000.0
20511448826,4,1,3,38.0,0.75,0.5,3,3,1,14,11,4,3,100.0,3.0,4,0,0,3,3,4,4,97114520.0,272330000.0
20511448828,4,2,2,30.0,1.0,0.25,9,4,1,14,11,4,3,60.0,3.0,4,0,0,3,3,4,5,1173531520.0,117330000.0
20511448832,3,2,1,55.66666666666666,0.6666666666666666,0.0,3,1,1,14,11,4,4,100.0,3.0,4,0,0,3,3,4,5,115729000.0,676765000.0
20511448836,2,1,1,75.0,0.0,0.0,6,1,1,14,11,4,3,60.0,3.0,1,0,0,3,3,4,3,40869760.0,117130000.0
20511448838,4,2,2,26.5,1.0,0.5,9,3,1,14,11,4,4,120.0,3.0,4,1,0,3,3,4,3,1008538000.0,142825000.0
20511448841,4,3,1,26.5,1.0,0.5,3,3,1,14,11,4,4,100.0,3.0,4,1,0,3,3,4,7,684235000.0,97330000.0
20511448925,4,3,1,39.25,0.75,0.0,3,4,1,14,11,4,3,70.0,3.0,3,0,0,3,3,4,2,90498520.0,712430000.0
20511448929,2,1,1,60.5,0.5,0.0,3,4,1,14,11,4,3,60.0,3.0,4,0,0,3,3,4,2,44614760.0,815150000.0
20511448935,7,4,3,21.428571428571427,0.4285714285714285,0.0,6,0,2,14,11,4,4,100.0,3.0,4,0,0,3,3,4,4,79846660.0,1112900000.0
20511448941,3,1,2,60.0,0.3333333333333333,0.0,6,1,1,14,11,4,4,90.0,3.0,4,0,0,3,3,4,3,43279140.0,435710000.0
20511449029,5,3,2,39.8,0.6,0.0,6,4,1,14,11,4,4,120.0,3.0,4,0,0,3,3,4,4,120725900.0,742325000.0
20511449032,1,0,1,78.0,0.0,0.0,6,1,3,14,11,0,3,80.0,3.0,4,0,0,3,3,4,3,23232380.0,225755000.0
20511449033,1,0,1,71.0,0.0,0.0,6,1,3,14,11,4,3,80.0,3.0,4,0,0,3,3,4,2,36398380.0,243755000.0
20511449038,2,0,2,47.5,0.5,0.0,6,1,3,14,11,4,4,110.0,3.0,4,0,0,3,3,4,4,43381760.0,368210000.0
20511449041,5,4,1,30.6,0.8,0.0,2,4,2,14,11,4,4,90.0,3.0,4,0,0,3,3,4,4,94281900.0,979075000.0
20511449126,4,2,2,20.0,0.75,0.25,3,1,1,14,11,0,2,50.0,3.0,1,0,0,3,3,4,2,41235520.0,44400000.0
20511449129,4,3,1,44.0,0.5,0.25,6,4,1,14,11,4,3,100.0,3.0,4,0,0,3,3,4,4,41757520.0,794465000.0
20511449135,4,2,2,19.25,0.5,0.0,6,5,1,14,11,4,3,80.0,3.0,4,1,0,3,3,4,7,152561520.0,394465000.0
20511449138,5,2,3,25.2,1.0,0.6,3,3,2,14,11,4,3,90.0,3.0,4,1,0,3,3,4,5,207695400.0,429600000.0
20511449228,1,0,1,66.0,0.0,0.0,6,1,3,14,11,4,3,85.0,3.0,4,0,0,3,3,4,2,36602000.0,93945000.0
20511449229,5,2,3,22.6,0.8,0.4,3,3,2,14,11,0,3,85.0,3.0,4,0,0,3,3,4,2,61924900.0,118775000.0
20511449232,2,0,2,48.5,0.5,0.0,6,1,3,14,11,0,4,120.0,3.0,4,0,0,3,3,4,4,54044000.0,121040000.0
20511449235,1,0,1,76.0,0.0,0.0,6,1,3,14,11,4,3,60.0,3.0,4,0,0,3,3,4,2,16126380.0,146595000.0
20511449238,3,0,3,50.333333333333336,0.3333333333333333,0.0,6,0,3,14,11,4,4,60.0,3.0,4,0,0,3,3,4,5,34125140.0,178935000.0
20511449241,1,0,1,67.0,0.0,0.0,6,1,3,14,11,4,3,60.0,3.0,7,0,0,3,3,4,4,36092000.0,142895000.0
20512449326,1,0,1,80.0,0.0,0.0,6,1,3,14,12,4,2,40.0,3.0,1,0,0,2,4,5,1,17645380.0,51160000.0
20512449330,3,2,1,34.333333333333336,0.6666666666666666,0.0,3,4,1,14,12,4,3,70.0,3.0,4,1,0,2,4,5,5,147736520.0,466780000.0
20512449332,6,4,2,34.5,0.5,0.1666666666666666,6,4,2,14,12,4,3,85.0,1.0,4,0,1,2,4,3,4,75737280.0,435180000.0
20512449335,6,2,4,18.83333333333333,0.6666666666666666,0.3333333333333333,9,3,2,14,12,4,3,70.0,3.0,4,0,1,2,4,5,2,107010900.0,158650000.0
20512449338,5,3,2,22.4,0.6,0.2,3,1,2,14,12,4,3,50.0,3.0,1,0,0,2,4,5,1,45901900.0,208850000.0
